Country	InDelta_Citation_ij	Year	Field
Hispanic	-0.4954369890550892	2001.0	142724271
Black	-0.4485783961173424	2002.0	142724271
Hispanic	-0.1639746589658397	2002.0	142724271
White	0.8860395345902607	2002.0	142724271
API	0.8264945845150176	2002.0	142724271
API	0.7180557424167816	2003.0	142724271
White	0.8311533644408108	2003.0	142724271
Black	-1.100370228233544	2003.0	142724271
Hispanic	-0.4488388786240493	2003.0	142724271
API	0.6851069177400952	2004.0	142724271
White	0.7603873389496325	2004.0	142724271
Black	-0.9587521889989308	2004.0	142724271
Hispanic	-0.4867420676907976	2004.0	142724271
API	0.7193502495329681	2005.0	142724271
White	0.844376335221705	2005.0	142724271
Black	-1.1009946381291396	2005.0	142724271
Hispanic	-0.4627319466255326	2005.0	142724271
Black	-0.4229972603161911	2006.0	142724271
Hispanic	-0.007711701774774	2006.0	142724271
White	0.9206795770693116	2006.0	142724271
API	0.8911295840399468	2006.0	142724271
API	0.7415266934407102	2007.0	142724271
White	0.8126392175624071	2007.0	142724271
Black	-1.0770768553153645	2007.0	142724271
Hispanic	-0.477089055687752	2007.0	142724271
Black	-0.5358005095495648	2008.0	142724271
Hispanic	-0.2152359451995988	2008.0	142724271
White	0.8495418772183752	2008.0	142724271
API	0.8214650840316509	2008.0	142724271
API	0.7560199879245023	2009.0	142724271
White	0.8020937306819472	2009.0	142724271
Black	-1.098330844633869	2009.0	142724271
Hispanic	-0.4597828739725777	2009.0	142724271
Black	-0.5972873738451618	2010.0	142724271
Hispanic	-0.1629278863606946	2010.0	142724271
White	0.8262807462269113	2010.0	142724271
API	0.7959319070443227	2010.0	142724271
API	0.7527014647963158	2011.0	142724271
White	0.800919302967825	2011.0	142724271
Black	-1.1076998839824057	2011.0	142724271
Hispanic	-0.4459208837817348	2011.0	142724271
Black	-0.6650402265332727	2012.0	142724271
Hispanic	-0.3147706466987057	2012.0	142724271
White	0.663633438488836	2012.0	142724271
API	0.6429848268488554	2012.0	142724271
Black	-0.4924970145284393	2013.0	142724271
Hispanic	-0.1116655408138153	2013.0	142724271
White	0.8280043433725252	2013.0	142724271
API	0.7741079080378779	2013.0	142724271
Black	-0.5846448564113614	2014.0	142724271
Hispanic	-0.1663473747383676	2014.0	142724271
White	0.8240062632042652	2014.0	142724271
API	0.7441367625202079	2014.0	142724271
Black	-0.5743585854342061	2015.0	142724271
Hispanic	-0.1265311770633382	2015.0	142724271
White	0.870525832575141	2015.0	142724271
API	0.8142355815700411	2015.0	142724271
Black	-0.6384001396664731	2016.0	142724271
Hispanic	-0.1362826818611667	2016.0	142724271
White	0.7940028214940642	2016.0	142724271
API	0.7707384932392768	2016.0	142724271
Black	-0.588868501923313	2017.0	142724271
Hispanic	-0.1142454218133664	2017.0	142724271
White	0.8095444226420221	2017.0	142724271
API	0.7675679823007036	2017.0	142724271
API	-0.2919725979049668	1980.0	115903868
White	1.086800943327377	1980.0	115903868
Hispanic	-0.7948283454224099	1980.0	115903868
API	0.0	1981.0	115903868
White	0.0	1981.0	115903868
API	2.220446049250313e-16	1982.0	115903868
White	4.440892098500626e-16	1982.0	115903868
API	0.4582671708580109	1983.0	115903868
White	0.2717168194925757	1983.0	115903868
Hispanic	-0.729983990350586	1983.0	115903868
API	0.0126262628036654	1984.0	115903868
White	0.9114167347083448	1984.0	115903868
Hispanic	-0.9240429975120112	1984.0	115903868
API	0.2777242897381567	1985.0	115903868
White	0.6279888847737887	1985.0	115903868
Hispanic	-0.9057131745119456	1985.0	115903868
API	0.3745674500799305	1986.0	115903868
White	0.8872840032345113	1986.0	115903868
Hispanic	-1.261851453314443	1986.0	115903868
API	-0.2755133233980769	1987.0	115903868
White	0.9429712907987364	1987.0	115903868
Hispanic	-0.6674579674006582	1987.0	115903868
API	0.7005448254561718	1988.0	115903868
White	0.5469335715347476	1988.0	115903868
Black	-0.4800557501462996	1988.0	115903868
Hispanic	-0.7674226468446229	1988.0	115903868
API	0.5371642461489649	1989.0	115903868
White	0.8740809010897875	1989.0	115903868
Black	-0.8097850741340898	1989.0	115903868
Hispanic	-0.6014600731046623	1989.0	115903868
API	0.5198287352235701	1990.0	115903868
White	0.4868091825041681	1990.0	115903868
Hispanic	-1.0066379177277385	1990.0	115903868
API	0.869263315708385	1991.0	115903868
White	0.6599689524517814	1991.0	115903868
Black	-1.4021115152297787	1991.0	115903868
Hispanic	-0.1271207529303881	1991.0	115903868
API	0.5993068100746357	1992.0	115903868
White	1.0544483623532852	1992.0	115903868
Black	-1.0652863622660629	1992.0	115903868
Hispanic	-0.5884688101618599	1992.0	115903868
API	0.403578725496436	1993.0	115903868
White	0.5113174519007218	1993.0	115903868
Hispanic	-0.914896177397158	1993.0	115903868
API	0.985138639947988	1994.0	115903868
White	0.6651183360992247	1994.0	115903868
